what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260388831947
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260388858615
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260388913946
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260388981548
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260389040076
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260389046308
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260389259278
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260389267744
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260390091625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260390134905
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260390140659
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260390140671
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260390140869
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260390158111
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260390159258
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260390164470
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260390169776
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260405063727
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260405063738
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260405072260
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260405094144
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260405115786
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260405117289
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260405120359
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260405128191
