what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406612136
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260406615479
executed,command,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.actions.OrganizeImports",1260406618295
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1260406619102
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406625971
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406699069
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260406699078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406712444
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406715143
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406740383
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406743643
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406750199
opened,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260406754662
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260406754721
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406755094
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406759457
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406794509
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260406796121
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406799063
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260406800284
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260406801390
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260406817924
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1260406819275
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260406822716
activated,editor,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.editor.ASEditor",1260406827159
