what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_18-ea",1260458029592
java.vm.info,sysinfo,,,"mixed mode",1260458029592
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1260458029592
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1260458029592
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260458029592
java.vm.specification.version,sysinfo,,,"1.0",1260458029592
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1260458029592
java.vm.version,sysinfo,,,"16.0-b10",1260458029592
activated,view,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui.views.FlashExplorer",1260458041782
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458044017
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458065177
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1260458065185
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1260458065185
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458066027
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458085940
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458090043
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458091056
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260458091157
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1260458091305
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1260458091306
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1260458091306
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.tasks",1260458091306
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.ui",1260458091307
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1260458091307
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1260458091308
